"id","name"
"100","100"
"10100","10100"
"10200","10200"
"10300","10300"
"10400","10400"
"10500","10500"
"200","200"
"300","300"
"30100","30100"
"30200","30200"
"30300","30300"
"400","400"
"500","500"
"BULKD","BULKD"
"CAP01","CAP01"
"CAP02","CAP02"
"CAP03","CAP03"
"CAP04","CAP04"
"CAP05","CAP05"
"CAP06","CAP06"
"CAP09","CAP09"
"CAP10","CAP10"
"CAP11","CAP11"
"CAP29","CAP29"
"CXR01","CXR01"
"CXR02","CXR02"
"CXR03","CXR03"
"CXR06","CXR06"
"CXR07","CXR07"
"CXR08","CXR08"
"CXR09","CXR09"
"CXR10","CXR10"
"CXR11","CXR11"
"CXR12","CXR12"
"ECO01","ECO01"
"ECO02","ECO02"
"ECO03","ECO03"
"ECO04","ECO04"
"ECO05","ECO05"
"ECO06","ECO06"
"ECO07","ECO07"
"ECO08","ECO08"
"ECO09","ECO09"
"ECO10","ECO10"
"ECO11","ECO11"
"ECO12","ECO12"
"ECO13","ECO13"
"ECO14","ECO14"
"ECO15","ECO15"
"ECO16","ECO16"
"ECO17","ECO17"
"ECO18","ECO18"
"ECO19","ECO19"
"ECO20","ECO20"
"ECO21","ECO21"
"ECO22","ECO22"
"EXGTE","EXGTE"
"FINSD","FINSD"
"GCONT","GCONT"
"GEN01","GEN01"
"GEN02","GEN02"
"GEN03","GEN03"
"GEN04","GEN04"
"GEN06","GEN06"
"GEN08","GEN08"
"GEN09","GEN09"
"GEN10","GEN10"
"GEN11","GEN11"
"GEN13","GEN13"
"GEN14","GEN14"
"GEN15","GEN15"
"GEN16","GEN16"
"GEN17","GEN17"
"GEN18","GEN18"
"GEN19","GEN19"
"GEN21","GEN21"
"GEN22","GEN22"
"GEN23","GEN23"
"GEN24","GEN24"
"GEN25","GEN25"
"GEN26","GEN26"
"GEN27","GEN27"
"GEN28","GEN28"
"GEN29","GEN29"
"GEN30","GEN30"
"GEN31","GEN31"
"GEN32","GEN32"
"GEN33","GEN33"
"GEN34","GEN34"
"GEN35","GEN35"
"GEN36","GEN36"
"GEN37","GEN37"
"GEN38","GEN38"
"GEN39","GEN39"
"GEN40","GEN40"
"GEN43","GEN43"
"GEN44","GEN44"
"GEN45","GEN45"
"GEN46","GEN46"
"GEN47","GEN47"
"GEN48","GEN48"
"GEN49","GEN49"
"GEN50","GEN50"
"GEN51","GEN51"
"GEN52","GEN52"
"GMSPR","GMSPR"
"GRNTR","GRNTR"
"IRQ02","IRQ02"
"IRQ0A","IRQ0A"
"IRQ0B","IRQ0B"
"IRQ0C","IRQ0C"
"IRQ0D","IRQ0D"
"IRQ0E","IRQ0E"
"IRQ0F","IRQ0F"
"IRQ0G","IRQ0G"
"IRQ0H","IRQ0H"
"IRQ0S","IRQ0S"
"LIC99","LIC99"
"MCP01","MCP01"
"MCP02","MCP02"
"MIB01","MIB01"
"NCGDS","NCGDS"
"PAL01","PAL01"
"PAL02","PAL02"
"PAL03","PAL03"
"PAL05","PAL05"
"PAL06","PAL06"
"PAL07","PAL07"
"PAL08","PAL08"
"PAL12","PAL12"
"PAR01","PAR01"
"PAR03","PAR03"
"PAR06","PAR06"
"PAR07","PAR07"
"PAR09","PAR09"
"PAR10","PAR10"
"PAR11","PAR11"
"PFCLM","PFCLM"
"POD06","POD06"
"POD07","POD07"
"POD08","POD08"
"POD09","POD09"
"POD10","POD10"
"POD11","POD11"
"POD12","POD12"
"POD13","POD13"
"POD14","POD14"
"POD15","POD15"
"POD16","POD16"
"POD17","POD17"
"POD18","POD18"
"POD19","POD19"
"POD20","POD20"
"POD21","POD21"
"POD22","POD22"
"POD23","POD23"
"POD24","POD24"
"PREMS","PREMS"
"PRO01","PRO01"
"PRO02","PRO02"
"PRO03","PRO03"
"PRO04","PRO04"
"PRO05","PRO05"
"PRO06","PRO06"
"PRO07","PRO07"
"PRO08","PRO08"
"PRO09","PRO09"
"PRO10","PRO10"
"PRO11","PRO11"
"PRO12","PRO12"
"PRO13","PRO13"
"RCONE","RCONE"
"RCONR","RCONR"
"REV01","REV01"
"REV02","REV02"
"REV03","REV03"
"REV04","REV04"
"REV05","REV05"
"REV06","REV06"
"REV08","REV08"
"REV09","REV09"
"REV10","REV10"
"REV11","REV11"
"REV13","REV13"
"REV14","REV14"
"RFS1M","RFS1M"
"RFS1N","RFS1N"
"RFS2M","RFS2M"
"RFS2N","RFS2N"
"RFS3M","RFS3M"
"RFS4M","RFS4M"
"RFS5M","RFS5M"
"RFS6M","RFS6M"
"RFS7M","RFS7M"
"ROY01","ROY01"
"ROY02","ROY02"
"RPTID","RPTID"
"SPOFF","SPOFF"
"STC99","STC99"
"TOR01","TOR01"
"TRANS","TRANS"
"TRPRN","TRPRN"
"VAT01","VAT01"
"VAT02","VAT02"
"VAT03","VAT03"
"VAT04","VAT04"
"VAT05","VAT05"
"VAT06","VAT06"
"VAT07","VAT07"
"WHSRP","WHSRP"
